French,English
L'Heure d'Arrivée,Arrival Time
L'Identification de Collatéral du Client,Collateral Customer Id
Téléchargez le Numéro de Référence,Upload Reference Number
Description,Description
Est-il Le Document de Titre  Originale?,Is Original Title Document
La Date de Création,Date Created
Le Statut D'Approbation De,Approval Status
Date d'approbation,Date Approved
Voyez Le Détail,View Detail
Le Téléchargement De Document,Document Upload
Approbation De La Mémo,Approval Memo
Détails de Crédit,Facility Details
Le Numéro de Référence de l'Application:,Application Reference No:
Code de Client,Customer Code
Nom du Client,Customer Name
Le Nom de la Succursale,Branch Name
Le Type de Crédit,Facility Type
La Date de Création,Date Created
Gestionnaire de Relations,Relationship Manager
L'Unité D'Affaires,Business Unit
L'Index des Produits,Product Index
La Date De La Demande,Application Date
Le Montant De Crédit,Facility Amount
Taux D'Intérêt,Interest Rate
Le Nom De Fichier,File Name
Est Une Copie Originale,Is An Original Copy
La Taille De Fichier,File Size
Le Type de Document,Document Type
La Catégorie de Document,Document Category
Affichez,View
Téléchargez,Download
Le But de la soumission,Purpose of Submission
--- Sélectionnez Approbation ---,--- Select Approval ---
Approuvez,Approve
Baisse,Decline
Renvoyez,Refer Back
Retour à la liste,Back to List
Soumettre,Submit
Les Détails de Crédit,Facility Detail
Commentaires d'approbation,Approval Comments
Le Titre du Document:,Document Title:
Sélectionnez le Crédit,-- Select Facility--
Les Conditions,Conditions
Ultérieur,Subsequent
Interne,Internal
Enregistrez Les Modifications Sélectionnées,Save Selected Changes
Les Modifications non enregistrées***,Unsaved changes***
Les Conditions De Prêt,Loan Conditions
Modifiez,Edit
Supprimez,Remove
Condition,Condition
Le Crédit,Facility
L'État Extérieur,External Condition
La condition ultérieure,Condition Subsequent
Le Calendrier pour la conformité,Timeline for Compliance
-- Sélectionnez Le Calendrier de conformité--,-- Select Compliance Timeline--
Enregistrez,Save
Annulez,Cancel
Les conditions suggérées,Suggested Conditions
Ajoutez nouveau,Add New
Le Type De Suggestion,Suggestion Type
Ajoutez,Add
La Suggestion du Responsable des Relations (RM),RM Suggestion
-- Sélectionnez le Type de suggestion --,-- Select Suggestion Type --
Enregistrer et Fermer,Save and Close
Annulez,Cancel
La Recherche De Client,Customer Search
Réduisez,Collapse
Cherchez,Search
Le Nom / Le Code du Client,Customer Name / Code
Numéro De Téléphone,Phone Number
Cherchez,Search
Clair/Effacez,Clear
Le Résultat de Recherche du Client,Customer Search Result
Profession,Occupation
L'Information du Client,Customer Information
Type de client,Customer Type
Affichez Les Détails,View Details
Les Détails des Informations du Client pour:,Customer Information Details For:
Actualisez Les Comptes du Client,Refresh Customer Accounts
Le Code du Client:,Customer Code:
Le Type De Client:,Customer Type:
Intitulé:,Title:
Sexe:,Gender:
Prénom:,First Name:
La Date de naissance:,Date of Birth:
Le Nom De L'Entreprise:,Corporate Name:
La Date d'Établi:,Date of Established:
2ème Nom,Middle Name:
Le Numéro de Vérification Bancaire du Client:,Customer BVN:
Le Nom De Famille:,Last Name:
Le Lieu de Naissance:,Place of Birth:
L'adresse courriel:,Email Address:
Le Numéro d'Identification Fiscale:,TIN:
L'État Civil:,Marital Status:
Occupation:,Occupation:
Conjoint:,Spouse:
Le Nom De Jeune Fille:,Maiden Name:
Nationalité:,Nationality:
La Création De Compte Terminée:,Account Creation Complete:
Le Gestionnaire de Relation Bancaire,Relationship Manager:
Le Secteur:,Sector:
Le Sous-Secteur:,Sub-Sector:
Politiquement Exposé:,Politically Exposed:
La Succursale:,Branch:
L'Entreprise:,Company:
L'Évaluation du Client:,Customer Rating:
La Possession:,Ownership:
Général,General
Numéro d'enregistrement:,Registration Number:
Le Site Web de l'Entreprise:,Company Website:
Le Courriel De L'Entreprise.:,Company Email:
Le Bureau d'Inscription:,Registered Office:
Le Chiffre d'Affaires Annuel:,Annual Turn Over:
Le Capital Versé:,Paid Up Capital:
Le Capital Autorisé:,Authorized Capital:
Le Secteur d'Activité:,Business Sector:
Le Fonds d'Actionnaires:,Shareholder Fund:
Les Informations De L'Entreprise,Corporate Information
Exportez au format CSV,Export to CSV
Les Informations sur l'Adresse du Client,Customer Address Information
Adresse,Address
Ville,Town/City
Le Plus Proche Point De Repère,Nearest Landmark
Actif,Active
Le Contact Téléphonique du  Client,Customer Phone Contact
Le Contact Téléphonique à la Maison,Home Phone No
Le Numero de Téléphone Portable,Mobile Phone No
Le Contact,Contact
Prénom,First Name
Nom de famille,Surname
Numéro de Vérification Bancaire,Bank Verification Number
Courriel,Email
Politiquement Exposé,Politically Exposed
Le (s) Signataire (s) du compte,Account Signatory(s)
Le Directeur,Director
Le(s) Meilleur Fournisseur(s) du Client,Customer Top Supplier(s)
Le Type de Fournisseur,Supplier Type
Le Nom du Fournisseur,Supplier Name
Le meilleur Clientèle du Client(s),Customer Top Client(s)
Le Type de Client,Client Type
Le Nom du Client,Client Name
Le Client / Le Fournisseur,Client/Supplier
